"gameids","away","home","awayscore","homescore"
"0021700001","Celtics","Cavaliers",99,102
"0021700002","Rockets","Warriors",122,121
"0021700003","Hornets","Pistons",90,102
"0021700004","Nets","Pacers",131,140
"0021700005","Heat","Magic",109,116
"0021700006","76ers","Wizards",115,120
"0021700007","Bucks","Celtics",108,100
"0021700008","Pelicans","Grizzlies",91,103
"0021700009","Hawks","Mavericks",117,111
"0021700010","Nuggets","Jazz",96,106
"0021700011","Timberwolves","Spurs",99,107
"0021700012","TrailBlazers","Suns",124,76
"0021700013","Rockets","Kings",105,100
"0021700014","Bulls","Raptors",100,117
"0021700015","Knicks","Thunder",84,105
"0021700016","Clippers","Lakers",108,92
"0021700017","Hawks","Hornets",91,109
"0021700018","TrailBlazers","Pacers",114,96
"0021700019","Celtics","76ers",102,92
"0021700020","Pistons","Wizards",111,115
"0021700021","Cavaliers","Bucks",116,97
"0021700022","Magic","Nets",121,126
"0021700023","Jazz","Timberwolves",97,100
"0021700024","Kings","Mavericks",93,88
"0021700025","Warriors","Pelicans",128,120
"0021700026","Lakers","Suns",132,130
"0021700027","76ers","Raptors",94,128
"0021700028","Magic","Cavaliers",114,93
"0021700029","Pacers","Heat",108,112
"0021700030","Pistons","Knicks",111,107
"0021700031","Spurs","Bulls",87,77
"0021700032","Mavericks","Rockets",91,107
"0021700033","Warriors","Grizzlies",101,111
"0021700034","TrailBlazers","Bucks",110,113
"0021700035","Kings","Nuggets",79,96
"0021700036","Thunder","Jazz",87,96
"0021700037","Suns","Clippers",88,130
"0021700038","Hawks","Nets",104,116
"0021700039","Timberwolves","Thunder",115,113
"0021700040","Pelicans","Lakers",119,112
"0021700041","76ers","Pistons",97,86
"0021700042","Hawks","Heat",93,104
"0021700043","Grizzlies","Rockets",98,90
"0021700044","Hornets","Bucks",94,103
"0021700045","Warriors","Mavericks",133,103
"0021700046","Raptors","Spurs",97,101
"0021700047","Wizards","Nuggets",109,104
"0021700048","Kings","Suns",115,117
"0021700049","Bulls","Cavaliers",112,119
"0021700050","Nets","Magic",121,125
"0021700051","Knicks","Celtics",89,110
"0021700052","Pacers","Timberwolves",130,107
"0021700053","Pelicans","TrailBlazers",93,103
"0021700054","Jazz","Clippers",84,102
"0021700055","Nuggets","Hornets",93,110
"0021700056","Timberwolves","Pistons",101,122
"0021700057","Rockets","76ers",105,104
"0021700058","Cavaliers","Nets",107,112
"0021700059","Spurs","Heat",117,100
"0021700060","Pacers","Thunder",96,114
"0021700061","Grizzlies","Mavericks",94,103
"0021700062","Jazz","Suns",88,97
"0021700063","Raptors","Warriors",112,117
"0021700064","Wizards","Lakers",99,102
"0021700065","Hawks","Bulls",86,91
"0021700066","Mavericks","Grizzlies",91,96
"0021700067","Celtics","Bucks",96,89
"0021700068","Clippers","TrailBlazers",104,103
"0021700069","Pelicans","Kings",114,106
"0021700070","Rockets","Hornets",109,93
"0021700071","Spurs","Magic",87,114
"0021700072","Nuggets","Hawks",105,100
"0021700073","Nets","Knicks",86,107
"0021700074","Thunder","Timberwolves",116,119
"0021700075","Wizards","Warriors",117,120
"0021700076","Raptors","Lakers",101,92
"0021700077","Cavaliers","Pelicans",101,123
"0021700078","Celtics","Heat",96,90
"0021700079","Thunder","Bulls",101,69
"0021700080","Rockets","Grizzlies",89,103
"0021700081","76ers","Mavericks",112,110
"0021700082","Lakers","Jazz",81,96
"0021700083","Suns","TrailBlazers",107,114
"0021700084","Pistons","Clippers",95,87
"0021700085","Bucks","Hawks",117,106
"0021700086","Spurs","Pacers",94,97
"0021700087","Nuggets","Nets",124,111
"0021700088","Magic","Hornets",113,120
"0021700089","Wizards","Kings",110,83
"0021700090","Knicks","Cavaliers",114,95
"0021700091","Pistons","Warriors",115,107
"0021700092","Spurs","Celtics",94,108
"0021700093","Timberwolves","Heat",125,122
"0021700094","Nuggets","Knicks",110,116
"0021700095","76ers","Rockets",115,107
"0021700096","Hornets","Grizzlies",104,99
"0021700097","Magic","Pelicans",115,99
"0021700098","Mavericks","Jazz",89,104
"0021700099","Raptors","TrailBlazers",99,85
"0021700100","Warriors","Clippers",141,113
"0021700101","Kings","Pacers",83,101
"0021700102","Suns","Nets",122,114
"0021700103","Thunder","Bucks",110,91
"0021700104","Pistons","Lakers",93,113
"0021700105","Bucks","Hornets",121,126
"0021700106","Pacers","Cavaliers",124,107
"0021700107","Hawks","76ers",109,119
"0021700108","Suns","Wizards",122,116
"0021700109","Kings","Celtics",86,113
"0021700110","Bulls","Heat",91,97
"0021700111","Rockets","Knicks",119,97
"0021700112","Magic","Grizzlies",101,99
"0021700113","Timberwolves","Pelicans",104,98
"0021700114","Raptors","Nuggets",111,129
"0021700115","TrailBlazers","Jazz",103,112
"0021700116","Mavericks","Clippers",98,119
"0021700117","Warriors","Spurs",112,92
"0021700118","Lakers","TrailBlazers",110,113
"0021700119","Bucks","Pistons",96,105
"0021700120","Bulls","Magic",105,83
"0021700121","Pacers","76ers",110,121
"0021700122","Cavaliers","Wizards",130,122
"0021700123","Rockets","Hawks",119,104
"0021700124","Suns","Knicks",107,120
"0021700125","Pelicans","Mavericks",99,94
"0021700126","Hornets","Spurs",101,108
"0021700127","Heat","Nuggets",94,95
"0021700128","Raptors","Jazz",109,100
"0021700129","Celtics","Thunder",101,94
"0021700130","Nets","Lakers",112,124
