,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
0,Alaa Abdelnaby,"Abdelnaby, Alaa",1990,Y,76001,HISTADD_alaa_abdelnaby,0,,,,0,,1994
1,Zaid Abdul-Aziz,"Abdul-Aziz, Zaid",1968,Y,76002,HISTADD_zaid_abdul-aziz,0,,,,0,,1977
2,Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",1969,Y,76003,HISTADD_kareem_abdul-jabbar,0,,,,0,,1988
3,Mahmoud Abdul-Rauf,"Abdul-Rauf, Mahmoud",1990,Y,51,mahmoud_abdul-rauf,0,,,,0,,2000
4,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",1997,Y,1505,tariq_abdul-wahad,0,,,,0,,2003
5,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",1996,Y,949,shareef_abdur-rahim,0,,,,0,,2007
6,Tom Abernethy,"Abernethy, Tom",1976,Y,76005,HISTADD_tom_abernethy,0,,,,0,,1980
7,Forest Able,"Able, Forest",1956,Y,76006,HISTADD_frosty_able,0,,,,0,,1956
8,John Abramovic,"Abramovic, John",1946,Y,76007,HISTADD_brooms_abramovic,0,,,,0,,1947
9,Alex Abrines,"Abrines, Alex",2016,Y,203518,alex_abrines,0,,,,0,,2017
10,Alex Acker,"Acker, Alex",2005,Y,101165,alex_acker,0,,,,0,,2008
11,Donald Ackerman,"Ackerman, Donald",1953,Y,76008,HISTADD_buddy_ackerman,0,,,,0,,1953
12,Mark Acres,"Acres, Mark",1987,Y,76009,HISTADD_mark_acres,0,,,,0,,1992
13,Charles Acton,"Acton, Charles",1967,Y,76010,HISTADD_bud_acton,0,,,,0,,1967
14,Quincy Acy,"Acy, Quincy",2012,Y,203112,quincy_acy,1,SAC,Sacramento,kings,1610612758,Kings,2017
15,Alvan Adams,"Adams, Alvan",1975,Y,76011,HISTADD_alvan_adams,0,,,,0,,1987
16,Don Adams,"Adams, Don",1970,Y,76012,HISTADD_don_adams,0,,,,0,,1976
17,Hassan Adams,"Adams, Hassan",2006,Y,200801,hassan_adams,0,,,,0,,2008
18,Jordan Adams,"Adams, Jordan",2014,Y,203919,jordan_adams,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
19,Michael Adams,"Adams, Michael",1985,Y,149,michael_adams,0,,,,0,,1995
20,Steven Adams,"Adams, Steven",2013,Y,203500,steven_adams,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2017
21,Rafael Addison,"Addison, Rafael",1986,Y,912,rafael_addison,0,,,,0,,1996
22,Bam Adebayo,"Adebayo, Bam",2017,Y,1628389,bam_adebayo,0,,,,0,,2017
23,Rick Adelman,"Adelman, Rick",1968,Y,76015,HISTADD_rick_adelman,0,,,,0,,1974
24,Jeff Adrien,"Adrien, Jeff",2010,Y,202399,jeff_adrien,0,,,,0,,2014
25,Arron Afflalo,"Afflalo, Arron",2007,Y,201167,arron_afflalo,1,NYK,New York,knicks,1610612752,Knicks,2017
26,Maurice Ager,"Ager, Maurice",2006,Y,200772,maurice_ager,0,,,,0,,2010
27,Mark Aguirre,"Aguirre, Mark",1981,Y,76016,HISTADD_mark_aguirre,0,,,,0,,1993
28,Blake Ahearn,"Ahearn, Blake",2007,Y,201336,blake_ahearn,0,,,,0,,2011
29,Danny Ainge,"Ainge, Danny",1981,Y,76017,HISTADD_danny_ainge,0,,,,0,,1994
30,Alexis Ajinca,"Ajinca, Alexis",2008,Y,201582,alexis_ajinca,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2017
31,Henry Akin,"Akin, Henry",1966,Y,76018,HISTADD_henry_akin,0,,,,0,,1967
32,Josh Akognon,"Akognon, Josh",2012,Y,203006,josh_akognon,0,,,,0,,2012
33,Solomon Alabi,"Alabi, Solomon",2010,Y,202374,solomon_alabi,0,,,,0,,2011
34,Mark Alarie,"Alarie, Mark",1986,Y,76019,HISTADD_mark_alarie,0,,,,0,,1990
35,Gary Alcorn,"Alcorn, Gary",1959,Y,76020,HISTADD_gary_alcorn,0,,,,0,,1960
36,Furkan Aldemir,"Aldemir, Furkan",2014,Y,203128,furkan_aldemir,0,,,,0,,2014
37,Cole Aldrich,"Aldrich, Cole",2010,Y,202332,cole_aldrich,1,LAC,LA,clippers,1610612746,Clippers,2017
38,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2017
39,Chuck Aleksinas,"Aleksinas, Chuck",1984,Y,76021,HISTADD_chuck_aleksinas,0,,,,0,,1984
40,Cliff Alexander,"Alexander, Cliff",2015,Y,1626146,cliff_alexander,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
41,Cory Alexander,"Alexander, Cory",1995,Y,724,cory_alexander,0,,,,0,,2004
42,Courtney Alexander,"Alexander, Courtney",2000,Y,2042,courtney_alexander,0,,,,0,,2003
43,Gary Alexander,"Alexander, Gary",1993,Y,76022,HISTADD_gary_alexander,0,,,,0,,1993
44,Joe Alexander,"Alexander, Joe",2008,Y,201570,joe_alexander,0,,,,0,,2009
45,Victor Alexander,"Alexander, Victor",1991,Y,2349,victor_alexander,0,,,,0,,2001
46,Steve Alford,"Alford, Steve",1987,Y,76024,HISTADD_steve_alford,0,,,,0,,1990
47,Bob Allen,"Allen, Bob",1968,Y,76028,HISTADD_bob_allen,0,,,,0,,1968
48,Jarrett Allen,"Allen, Jarrett",2017,Y,1628386,jarrett_allen,0,,,,0,,2017
49,Jerome Allen,"Allen, Jerome",1995,Y,706,jerome_allen,0,,,,0,,1996
50,Kadeem Allen,"Allen, Kadeem",2017,Y,1628443,kadeem_allen,0,,,,0,,2017
51,Lavoy Allen,"Allen, Lavoy",2011,Y,202730,lavoy_allen,1,IND,Indiana,pacers,1610612754,Pacers,2016
52,Lucius Allen,"Allen, Lucius",1969,Y,76027,HISTADD_lucius_allen,0,,,,0,,1978
53,Malik Allen,"Allen, Malik",2001,Y,2124,malik_allen,0,,,,0,,2010
54,Randy Allen,"Allen, Randy",1988,Y,76025,HISTADD_randy_allen,0,,,,0,,1989
55,Ray Allen,"Allen, Ray",1996,Y,951,ray_allen,0,,,,0,,2013
